text,intent,language,screen,action_type,source
please detect my location karanna,use_current_location,mixed_latin,location,action,mixed_en_alias
high voltage select karanna,select_high_voltage,mixed_latin,voltage_technical_issues,select_issue,mixed_en_alias
high voltage eka open karanna,select_high_voltage,mixed_latin,voltage_technical_issues,select_issue,mixed_en_alias
service history pennanna,open_activities,mixed_latin,bottom_navigation,navigation,mixed_en_alias
please open profile settings please,open_profile_settings,noisy_mixed,account,navigation,noise
කරුණාකර කරුණාකර ගැටළුව දැන් යවන්න,confirm_location_and_report_issue,noisy_mixed,electricity_board_flow,action,noise
create report for power keeps coming and going,select_intermittent_supply,en,power_supply_issues,select_issue,template
outages and interruptions open karanna,open_power_supply_issues,mixed_latin,home,navigation,mixed_en_alias
there is fallen cable,select_power_line_faults,en,electricity_board_report,select_board_category,template
mata substation failure eka report karanna,select_substation_issues,si_latin,electricity_board_report,select_board_category,template
report to electricity board eka tap karanna,open_report_to_electricity_board,mixed_latin,home,navigation,mixed_en_alias
adu voltage eka විකල්පය තෝරන්න,select_low_voltage,mixed_script,voltage_technical_issues,select_issue,mixed_ro_alias
report short circuit,select_short_circuit_or_fire,en,electricity_board_report,select_board_category,template
over voltage problem,select_high_voltage,en,voltage_technical_issues,select_issue,template
continue with submit issue to electricity board,confirm_location_and_report_issue,en,electricity_board_flow,action,template
display previous page,go_back,en,global,navigation,template
safety issues pennanna,open_safety_related_issues,mixed_latin,home,navigation,mixed_en_alias
mata available technicians hoyanna one,confirm_location_technician,si_latin,technician_flow,action,template
select investigation required,select_unknown_investigation_required,en,electricity_board_report,select_board_category,template
open danger of electric shock,select_electric_shock_risk,en,safety_related_issues,select_issue,template
can you continue with find address,search_location,noisy_mixed,location,action,noise
mata search nearby technicians one,find_available_technicians,mixed_latin,technician_flow,action,mixed_en_alias
broken meter box kiyana option eka select karanna,select_broken_meter_box,mixed_latin,infrastructure_issues,select_issue,mixed_en_alias
hey app location page ekata yanna option eka tap karanna කරන්න,continue_to_location,noisy_mixed,report_flow,action,noise
mata wadi voltage eka report karanna,select_high_voltage,si_latin,voltage_technical_issues,select_issue,template
